control_1,control_2,control_3,control_4,treatment_1,treatment_2,treatment_3,class
1,1,7,4,125,126,25,N
3,3,3,1,120,127,35,N
8,8,5,6,135,135,28,N
9,9,11,9,135,135,24,N
12,14,8,10,100,113,26,P
13,12,9,9,110,115,24,P
3,5,14,13,122,123,22,N
3,2,13,6,122,125,24,N
11,13,8,11,124,126,29,P
12,10,6,9,124,135,28,P
15,15,4,15,113,120,22,N
6,11,9,11,122,120,12,N
4,7,10,11,130,138,30,N
5,4,2,3,105,130,30,P
4,6,9,7,123,127,33,N
14,6,1,2,125,129,34,N
8,12,6,6,123,128,18,P
6,11,9,8,126,128,26,N
2,5,15,16,115,120,20,N
3,6,13,15,125,120,22,N
7,10,12,14,120,135,7,P
6,8,10,12,105,127,10,P
10,11,15,11,120,130,25,P
7,12,16,5,110,120,25,P
6.85714285714286,7.14285714285714,6.85714285714286,6.28571428571429,127,135,35,N
8.57142857142857,10.2857142857143,9.28571428571429,8.42857142857143,125,130,25,P
7.5,7.83333333333333,7.5,7.16666666666667,128,138,30,N
6.2,6.6,6.4,5.8,124,136,33,N
4.42857142857143,5.28571428571429,9.28571428571429,8.85714285714286,115,124,26,N
6,4.25,6.5,4,116,124,40,N
8.71428571428571,10.4285714285714,9.42857142857143,8,106,110,20,P
9.33333333333333,11.5,10.6666666666667,8.83333333333333,111,116,16,P
9.2,11.6,9.8,8.4,113,114,10,P
9.5,11.5,10.75,9,105,115,11,P
10.6666666666667,12.6666666666667,11,8,100,105,14,P
12.5,13,8.5,9.5,99,88,2,P
7,5,4.33333333333333,3.33333333333333,113,119,48,N
5.6,5.4,5.8,4.4,126,126,35,N
10.6666666666667,12.6666666666667,11,8,102,110,22,P
9,11,9,11,94,115,13,P
10,12,12.5,7,116,111,22,P
10,12,12.5,7,112,114,20,P
5.16666666666667,4.83333333333333,7,4.66666666666667,122,128,30,N
6.75,6.5,5.5,4.5,122,128,33,N
9.6,11.6,10.2,8.4,118,127,22,P
9.8,12,10.8,8.4,115,124,25,P
3.33333333333333,3.66666666666667,8.33333333333333,4.66666666666667,115,125,32,N
7.75,10.25,10.75,10.75,118,127,12,P
6.66666666666667,7.66666666666667,7.33333333333333,10.6666666666667,78,121,35,N
8.5,10,9.5,15.5,77,126,30,N
9,6,5,4.5,129,129,36,N
10.25,11.5,8.75,9.25,127,132,33,P
8.33333333333333,11,11,10.3333333333333,127,127,10,P
8.66666666666667,7,5.33333333333333,6.33333333333333,132,139,39,N
